Date,Open,High,Low,Close,Adj Close,Volume
18-12-2023,179.5,183,178,180.5,180.5,5185825
19-12-2023,181,182.5,178.5,181.5,181.5,5333088
20-12-2023,182,190,180.5,184.5,184.5,13805634
21-12-2023,182,184,180.5,181.5,181.5,9108932
22-12-2023,183,187.5,183,184,184,7817351
25-12-2023,185,196,185,193,193,16054644
26-12-2023,194,201.5,191.5,195.5,195.5,23136843
27-12-2023,198.5,203.5,198,200,200,13604565
28-12-2023,200,203,198.5,201.5,201.5,8736459
29-12-2023,203.5,208.5,202,204,204,8020994
02-01-2024,204.5,205.5,196.5,198,198,9604549
03-01-2024,195,196,190,191,191,8501155
04-01-2024,190,190,186.5,187.5,187.5,7698173
05-01-2024,188,190,186,186,186,4571438
08-01-2024,187,192.5,185.5,187.5,187.5,4813499
09-01-2024,191,193.5,188,189.5,189.5,6003648
10-01-2024,175,187.5,175,186,186,10240900
11-01-2024,185.5,186.5,183,184.5,184.5,5233161
12-01-2024,184.5,185.5,183,184.5,184.5,2738784
15-01-2024,186.5,187,180.5,181,181,3703177
16-01-2024,180,182,179,179.5,179.5,4036325
17-01-2024,179,181.5,178,179,179,8534825
18-01-2024,180,184.5,178,179,179,8860787
19-01-2024,180,185,179.5,184.5,184.5,8134877
22-01-2024,186,188.5,183.5,186,186,8951730
23-01-2024,184,184,180,183,183,8075987
24-01-2024,183,184,181,183,183,3577498
25-01-2024,184,185,181,185,185,4663524
26-01-2024,184.5,184.5,179,179.5,179.5,3855408
29-01-2024,181,185,180.5,183.5,183.5,2260266
30-01-2024,184,185,183,184,184,3652692
31-01-2024,184,184,181,182,182,3573926
01-02-2024,182.5,184,181,184,184,1867352
02-02-2024,184.5,192,184,189.5,189.5,8913399
05-02-2024,190,191.5,189,191,191,6337929
15-02-2024,194.5,196,188,193,193,9587101
16-02-2024,193,193.5,190,191,191,5175646
19-02-2024,192.5,192.5,188.5,191,191,3612930
20-02-2024,191,192,188.5,192,192,2868818
21-02-2024,190,191.5,189,190,190,3661692
22-02-2024,193,195,189.5,189.5,189.5,5212464
23-02-2024,191,194,190.5,191.5,191.5,4385467
26-02-2024,191,191,187,189.5,189.5,4273619
27-02-2024,191,193.5,187.5,187.5,187.5,4106231
29-02-2024,188,191,187,191,191,3326031
01-03-2024,192,193.5,191,191,191,3599245
04-03-2024,192.5,198.5,191,192,192,7578254
05-03-2024,193.5,196,192,195,195,3208465
06-03-2024,194,196,192,193,193,3984992
07-03-2024,193.5,194.5,188.5,189.5,189.5,3934861
08-03-2024,189.5,191,186.5,188,188,3983998
11-03-2024,188.5,190.5,187,187,187,1548763
12-03-2024,187.5,189,186.5,188.5,188.5,2652345
13-03-2024,189,190.5,188,189,189,4130441
14-03-2024,189,189,183,186,186,3751174
15-03-2024,176.5,177,168,169.5,169.5,13226668
18-03-2024,172,174.5,170,171.5,171.5,4825637
19-03-2024,172.5,173.5,170,170,170,4596495
20-03-2024,170,171,168,168.5,168.5,4131136
21-03-2024,170,170.5,166.5,170.5,170.5,5303722
22-03-2024,169.5,172.5,169.5,171,171,4099394
25-03-2024,171,172,170,170,170,2867895
26-03-2024,170.5,172.5,167.5,168.5,168.5,3304033
27-03-2024,168.5,169.5,167,168,168,2914030
28-03-2024,168,169,167,167,167,3126989
29-03-2024,167,170.5,166.5,169.5,169.5,2771000
01-04-2024,170,170.5,168,169.5,169.5,1785262
02-04-2024,169.5,170.5,169,170,170,2426531
03-04-2024,170,171,169,169.5,169.5,2543973
