Date,Open,High,Low,Close,Adj Close,Volume
08-09-2023,400,404.5,397,403.5,403.5,2731649
11-09-2023,404,404,371.5,380,380,9608538
12-09-2023,373.5,377.5,360.5,363.5,363.5,12650577
13-09-2023,360,371,360,369.5,369.5,5319893
14-09-2023,373,379,372,373.5,373.5,3260573
15-09-2023,375,377,366,366.5,366.5,5752432
18-09-2023,364,364,357,359.5,359.5,4412861
19-09-2023,365,368,359.5,360.5,360.5,2964329
20-09-2023,363.5,366,359.5,360.5,360.5,2360847
21-09-2023,357.5,360,353.5,355,355,3736209
22-09-2023,355,358.5,351.5,357.5,357.5,3229342
25-09-2023,357,360.5,354,359.5,359.5,2398689
26-09-2023,360.5,361,354,358,358,3434568
27-09-2023,357.5,365.5,357.5,364,364,3729492
28-09-2023,366.5,368.5,362.5,367,367,2753404
02-10-2023,370,374,364.5,372.5,372.5,3323113
03-10-2023,373,373,366,366.5,366.5,2890117
04-10-2023,364,371.5,364,370.5,370.5,3583232
05-10-2023,376,384.5,374,380,380,4316025
06-10-2023,380.5,382.5,376.5,379.5,379.5,1711544
11-10-2023,386.5,388,374,376.5,376.5,4326785
12-10-2023,377,385,375,377.5,377.5,4359163
13-10-2023,376,376,362.5,365,365,4663255
16-10-2023,363,366.5,360,363,363,2476544
17-10-2023,364,365,359,360.5,360.5,3434951
18-10-2023,360.5,361,346.5,350.5,350.5,9254487
19-10-2023,348,348,338,344.5,344.5,4298746
20-10-2023,339.5,342,331,337,337,7310886
23-10-2023,333.5,338.5,331.5,334,334,2875663
24-10-2023,335,341,335,341,341,2291018
25-10-2023,345,348.5,340.5,342.5,342.5,2137660
26-10-2023,336,342.5,334.5,339,339,2644933
27-10-2023,343,356,341.5,346.5,346.5,4318324
30-10-2023,347,351,342,346.5,346.5,2314704
31-10-2023,344,345.5,337.5,338,338,3152530
01-11-2023,340,344,337,343,343,1494571
02-11-2023,346.5,351.5,345,351,351,2257443
03-11-2023,353,355,349.5,355,355,1623983
06-11-2023,358,363.5,357,360.5,360.5,2235262
07-11-2023,359,359.5,352.5,353.5,353.5,2158905
08-11-2023,358,363,355.5,357.5,357.5,1697609
09-11-2023,355.5,358.5,352,357,357,1654477
10-11-2023,353.5,357.5,350.5,355.5,355.5,1428983
13-11-2023,360.5,360.5,353,360,360,1925855
14-11-2023,386,396,383.5,396,396,14329709
15-11-2023,403,405,390,391.5,391.5,8418039
16-11-2023,390,392,376.5,380.5,380.5,5939050
17-11-2023,385,398,381,392.5,392.5,7685230
20-11-2023,392,392,384,391,391,3564938
21-11-2023,394,396,387,389,389,4719155
